fips,x,y
12015,-81.98813,26.90400
12017,-82.51544,28.85936
12019,-81.82468,29.95629
12021,-81.37001,26.14567
12023,-82.62636,30.21044
12027,-81.80977,27.18672
12029,-83.22105,29.53715
12031,-81.65218,30.34461
12033,-87.32606,30.61439
12035,-81.27792,29.46610
12037,-84.80310,29.77540
12039,-84.63553,30.54952
12041,-82.79789,29.74916
12043,-81.22320,26.98981
12045,-85.24811,29.90270
12047,-82.97156,30.47594
12049,-81.80939,27.49149
12051,-81.22532,26.60532
12053,-82.45471,28.56408
12055,-81.30486,27.33945
12057,-82.31134,27.87195
12059,-85.81653,30.85009
12061,-80.59412,27.70964
12063,-85.17697,30.78317
12065,-83.93627,30.34216
12067,-83.19684,30.04139
12069,-81.68635,28.81164
12071,-81.91367,26.55321
12073,-84.22189,30.47941
12075,-82.82060,29.25233
12077,-84.88986,30.28970
12079,-83.47285,30.45573
12081,-82.39781,27.42482
12083,-82.02272,29.24085
12085,-80.38152,27.11225
12086,-80.46421,25.55748
12087,-80.73723,25.10099
12089,-81.87328,30.55166
12091,-86.59221,30.66049
12093,-80.84103,27.30108
12095,-81.29503,28.56649
12097,-81.12570,27.99487
12099,-80.43361,26.64627
12101,-82.42543,28.32479
12103,-82.73863,27.89149
12105,-81.73819,28.00256
12107,-81.78912,29.58248
12109,-81.41611,29.93774
12111,-80.43532,27.38237
12113,-87.02958,30.65917
12115,-82.30483,27.17166
12117,-81.23941,28.74483
12119,-82.10551,28.63302
12121,-83.01322,30.16291
12123,-83.64920,29.96710
12125,-82.38593,30.03151
12127,-81.10708,29.02283
12129,-84.37228,30.13070
12131,-86.15149,30.60374
12133,-85.67224,30.61007
13001,-82.32718,31.71848
13003,-82.84131,31.30191
13005,-82.44601,31.56422
13007,-84.49769,31.26656
13009,-83.25204,33.05829
13011,-83.52137,34.34478
13013,-83.71011,34.01110
13015,-84.83880,34.24358
13017,-83.16090,31.75338
13019,-83.19301,31.25073
13021,-83.68566,32.80664
13023,-83.34494,32.42835
13025,-82.02666,31.19179
13027,-83.54552,30.85821
13029,-81.43981,31.97702
13031,-81.72836,32.40321
13033,-81.92482,33.05024
13035,-83.94797,33.31245
13037,-84.63233,31.53584
13039,-81.61507,30.93940
13043,-82.06093,32.41357
13045,-85.11787,33.61893
13047,-85.14378,34.87717
13049,-82.10457,30.71567
13051,-81.03803,31.97118
13053,-84.80015,32.37795
13055,-85.33696,34.43793
13057,-84.45605,34.24518
13059,-83.39797,33.94424
13061,-85.00969,31.63322
13063,-84.35204,33.50079
13065,-82.73127,30.88274
13067,-84.58491,33.91265
13069,-82.84366,31.58951
13071,-83.77013,31.18038
13073,-82.22143,33.52762
13075,-83.42939,31.18881
13077,-84.77979,33.35142
13079,-83.96087,32.69355
13081,-83.76636,31.91711
13083,-85.51136,34.80383
13085,-84.22007,34.47551
13087,-84.57222,30.88444
13089,-84.22004,33.79317
13091,-83.15026,32.17666
13093,-83.82027,32.16036
13095,-84.22194,31.54311
13097,-84.76736,33.68896
13099,-84.86558,31.29570
13101,-82.94585,30.73189
13103,-81.32270,32.34565
13105,-82.85926,34.12236
13107,-82.30793,32.56658
13109,-81.88903,32.16344
13111,-84.19983,34.79552
13113,-84.49993,33.40351
13115,-85.19449,34.33305
13117,-84.15102,34.19291
13119,-83.24369,34.38048
13121,-84.40371,33.84468
13123,-84.45410,34.70197
13125,-82.62366,33.22310
13127,-81.48458,31.22207
13129,-84.87215,34.50997
13131,-84.22888,30.87740
13133,-83.15390,33.55834
13135,-84.04518,33.96040
13137,-83.51566,34.62975
13139,-83.78505,34.30629
13141,-82.99881,33.25966
13143,-85.20624,33.77947
13145,-84.89934,32.72788
13147,-82.95936,34.35188
13149,-85.11242,33.27967
13151,-84.11952,33.47222
